X,...1,date,EmployeeStatus,reviewer_id,rating_overall,rating_workfamily,rating_culture,rating_diversity,rating_leadership,rating_opportunity,rating_compensation,review_pros,review_cons,ceo_approval,companyid,ceo_app2,cleaned_review_pros,cleaned_review_cons,gender,status
2073,2769,2021-03-06,True,43579388,5.0,5,5,2,4,5,3,Good work and life balance,Not the very top level pay,"""APPROVE""",2,1.0,Good work life balance,top level pay,0,1
2634,3400,2022-11-12,False,71014704,,2,4,5,1,2,2,steady hours- and friendly regulars,they breathe down your back unnecessarily,,5,,steady hours friendly regulars,breathe back unnecessarily,0,0
24788,32969,2014-08-05,True,4724579,4.0,4,5,0,4,4,3,"Even if you come from a different background, you are always welcome to share your ideas. So much opportunities to learn and develop yourself.",The Salary benefits should increase as because mobile department don't get any commission like other  dealer companies or carriers..,,10,,Even come different background  always welcome share ideas  much opportunities learn develop ,Salary benefits increase mobile department nt get commission like dealer companies carriers ,1,1
798,1037,2022-11-02,False,70727448,4.0,0,0,0,0,0,0,Last raise was close to keeping up with the CPI. Work from home. Flexibility,Work from home can be isolating.,"""APPROVE""",9,1.0,Last raise close keeping CPI  Work home  Flexibility,Work home isolating ,0,0
3080,3962,2014-04-03,True,3994307,3.0,3,2,0,2,3,3,"pay and benefits, Awesome co-workers","Always a threat of layoffs, gives employees strain and lack of company pride","""NO_OPINION""",24,0.0,pay benefits  Awesome coworkers,Always threat layoffs  gives employees strain lack company pride,1,1
6008,7726,2013-07-01,False,2785946,4.0,4,4,0,4,4,4,Good opportunities to transfer departments.  Many people in the organization are seeking to do their best and not just 'skate by'.,Upper Management goals were sometimes very different than those of the reporting departments which can weigh down on morale.,"""NO_OPINION""",7,0.0,Good opportunities transfer departments  Many people organization seeking best skate  ,Upper Management goals sometimes different reporting departments weigh morale ,1,0
3952,5258,2017-06-06,False,15359901,4.0,3,1,0,1,1,4,"Work from home when needed, decent vacation allowance.  That's really about it - not much going for this company other than that.","Upper management is completely out of touch with the people below them. I'm actually amazed that the bank still functions, generates a profit, and satisfies it's shareholders. Reports are never done on time. Things are always thrown together in emergency meetings just to get reports out. \n\nThis company is awful. They provide zero training once you start, leaving you to completely fend for yourself. This is expected in most jobs but there should be at least a small amount of support such as how to actually use the systems specific to the bank. You can't be expected to come in and know how to use a program or database that you've never used before. \n\nNo organization skills by upper level managers and whenever anything goes wrong it turns into the blame game. It's always the Directors or SVPs blaming their VPs, AVPs, and Analysts. Hey never take responsibility for themselves, and are extremely unreliable.","""NO_OPINION""",7,0.0,Work home needed  decent vacation allowance  really  much going company ,Upper management completely touch people  actually amazed bank still functions  generates profit  satisfies shareholders  Reports never done time  Things always thrown together emergency meetings get reports  nnThis company awful  provide zero training start  leaving completely fend  expected jobs least small amount support actually use systems specific bank  ca nt expected come know use program database never used  nnNo organization skills upper level managers whenever anything goes wrong turns blame game  always Directors SVPs blaming VPs  AVPs  Analysts  Hey never take responsibility  extremely unreliable ,1,0
18799,24544,2018-02-24,True,19403277,4.0,0,0,0,0,0,0,"Location,  company provided tranportation, global company","Long work hours, cafeteria food not very good",,7,,Location  company provided tranportation  global company,Long work hours  cafeteria food good,1,1
14507,18683,2016-01-30,False,9393153,1.0,5,5,0,5,5,5,Great workout and learning how to be goal oriented by planning routes eficiantly,Wear n tear on the body if performing heavy lifting task incorrectly,"""APPROVE""",8,1.0,Great workout learning goal oriented planning routes eficiantly,Wear n tear body performing heavy lifting task incorrectly,1,0
768,1006,2022-12-05,True,71641457,3.0,5,5,5,5,5,5,Enjoy working here meeting and helping others learned alot,None I have no complaints,"""APPROVE""",34,1.0,Enjoy working meeting helping others learned alot,None complaints,0,1
1204,1589,2014-08-01,True,4699660,4.0,5,4,0,3,3,5,"Compensation, benefits, work\u002Flife balance, work from home","Management, politics, advancement opportunity, politics","""NO_OPINION""",6,0.0,Compensation  benefits  workuFlife balance  work home,Management  politics  advancement opportunity  politics,1,1
5008,6528,2015-07-18,True,7267103,1.0,3,3,0,3,2,4,"I have worked with Citi for 13 years and it has some really great benefits; I have been in several departments, and have only been able to obtain positions in these departments through word of mouth; when there is opportunity, you have to make the move, pay is similar to most companies.","the only positions obtained were through word of mouth, I have yet to see anything productive come out of the HR department.","""NO_OPINION""",7,0.0,worked Citi  years really great benefits  several departments  able obtain positions departments word mouth  opportunity  make move  pay similar companies ,positions obtained word mouth  yet see anything productive come HR department ,1,1
1963,2582,2022-09-03,True,68671974,2.0,2,4,5,4,4,3,Access to Big Company training resources. Of course you need to manage your training.,"They don't always follow the path of what is being taught. So you need to learn what you can and distinguish what is right vs. what they do. Every store, district, territory is different.","""APPROVE""",10,1.0,Access Big Company training resources  course need manage training ,nt always follow path taught  need learn distinguish right vs  Every store  district  territory different ,0,1
462,600,2021-05-27,True,47562875,,0,0,0,0,0,0,Interesting job good pay big bonus,Shift work poor training never fully staffed,,16,,Interesting job good pay big bonus,Shift work poor training never fully staffed,0,1
12095,15841,2020-09-20,True,36174250,4.0,5,5,0,5,5,5,can learn and work with full stack,not that i am aware of,,11,,learn work full stack,aware,0,1
7003,8911,2015-01-08,False,5659376,4.0,2,3,0,1,2,3,Training is provided which is good.  Managers are knowledgeable and staff friendly.,"Too many people are hired during busy times, required to work overtime and then laid off when business slows down some.","""DISAPPROVE""",7,-1.0,Training provided good  Managers knowledgeable staff friendly ,many people hired busy times  required work overtime laid business slows ,1,0
162,200,2023-03-11,True,74413264,,1,2,3,1,3,3,"New CEO brings long awaited change to outdated style of fearful leadership that pits employees againt one another for a \""forced attrition\"" rank and stack performance model","A majority of leaders who have gutted growth, innovation, and morale for self interest are still in charge, pretending to be part of the change, and sqeezing every last drop of Power by FEAR.","""APPROVE""",24,1.0,New CEO brings long awaited change outdated style fearful leadership pits employees againt one another   forced attrition  rank stack performance model,majority leaders gutted growth  innovation  morale self interest still charge  pretending part change  sqeezing every last drop Power FEAR ,0,1
10061,12669,2013-05-18,True,2660335,3.0,4,3,0,2,4,2,Breadth of projects and opportunities within oracle,Almost constant salary over years and very small bonuses,"""APPROVE""",11,1.0,Breadth projects opportunities within oracle,Almost constant salary years small bonuses,1,1
18278,23669,2013-06-01,True,2698411,3.0,2,1,0,1,2,3,Weekends off and co-worker make the job easier.,"Mangers use you, lie to you and have only their best interest at hand.\r\nMangers harass you when you try to take time off.","""NO_OPINION""",8,0.0,Weekends coworker make job easier ,Mangers use  lie best interest handrnMangers harass try take time ,1,1
4764,6177,2018-07-25,True,21639679,4.0,4,3,0,3,3,3,Balanced work and personal life,Anything can happen any time,"""NO_OPINION""",24,0.0,Balanced work personal life,Anything happen time,1,1
2864,3733,2020-11-04,True,37989373,5.0,5,5,5,4,4,4,Excellent teams with excellent people.\r\nLots of opportunities to learn and implement,Constrained options with immigration issues,"""NO_OPINION""",3,0.0,Excellent teams excellent peoplernLots opportunities learn implement,Constrained options immigration issues,0,1
5120,6655,2019-05-04,False,25981002,5.0,1,0,0,0,0,0,"Good product, nice community events.",Not a lot of resources to get things accomplished within the store.,"""NO_OPINION""",34,0.0,Good product  nice community events ,lot resources get things accomplished within store ,1,0
29682,38670,2020-02-28,False,32121389,,1,1,0,1,1,1,Nothing to say. Just like other service based companies.,One of the worst company to work. Name sake it looks big but salary wise it is just like other service based companies. Before interview they will accept for higher package. Once you finish all the rounds the bargaining starts.,,11,,Nothing say  like service based companies ,One worst company work  Name sake looks big salary wise like service based companies  interview accept higher package  finish rounds bargaining starts ,0,0
244,244,2022-12-15,False,71906604,5.0,3,4,4,3,2,2,Work environment and team cooperation,Pay is not consistent with local area,"""NO_OPINION""",28,0.0,Work environment team cooperation,Pay consistent local area,1,0
1718,2276,2021-06-07,False,48025031,2.0,3,2,4,2,5,4,3 weeks paid time off to start,Growing too fast. Tons of lay offs,"""DISAPPROVE""",4,-1.0, weeks paid time start,Growing fast  Tons lay offs,1,0
931,1255,2022-07-29,False,67301255,5.0,0,0,0,0,0,0,Liked working with the people there.\nThe pay was pretty good,To many meetings.\nYou need to go through a lot of hoops to get stuff done.,"""APPROVE""",2,1.0,Liked working people therenThe pay pretty good,many meetingsnYou need go lot hoops get stuff done ,0,0
6068,8027,2021-08-10,True,50927143,4.0,5,5,5,5,5,5,The company cares about their people that work for them.,When the company decides to do a re organization and quality people lose jobs.,,10,,company cares people work ,company decides organization quality people lose jobs ,0,1
3156,4080,2022-07-24,True,67097576,,4,4,4,4,4,4,Good money\nFlexible schedule\nGood atmosphere,Physically demanding\nHot climate \nSmall break,,8,,Good moneynFlexible schedulenGood atmosphere,Physically demandingnHot climate nSmall break,0,1
2865,3758,2014-09-03,False,4901502,4.0,4,1,0,1,1,1,Great experience for someone starting out in retail. Great summer or seasonal job for a teenager. Mostly a young person store and they usually keep young people staffed there. Gives you and opportunity to make you feel like you are really helping people with real problems.,"The company doesn't believe in prosecuting shoplifters. The store's policy is that you can't even approach a person that you suspect is stealing. The only thing you can do is try to intimidate them by keep walking up on them.. but if someone wants to steal and you have to assist another customer, you have lost inventory. \r\nAnother thing, I am big on growth within a company and they constantly made it clear that they only wanted people for the season. So no matter how hard you worked, or how much you wanted to be noticed you were only looked at as that \""seasonal employee\"". If you want loyalty and quality from people, make them feel like you are on their side. Even if the store has no openings and is fully staffed, you should see the potential in that could-be good worker, but you've lost a good catch because you are afraid of committment?","""NO_OPINION""",50,0.0,Great experience someone starting retail  Great summer seasonal job teenager  Mostly young person store usually keep young people staffed  Gives opportunity make feel like really helping people real problems ,company nt believe prosecuting shoplifters  store policy ca nt even approach person suspect stealing  thing try intimidate keep walking  someone wants steal assist another customer  lost inventory  rnAnother thing  big growth within company constantly made clear wanted people season  matter hard worked  much wanted noticed looked   seasonal employee   want loyalty quality people  make feel like side  Even store openings fully staffed  see potential couldbe good worker  lost good catch afraid committment ,1,0
13398,17330,2016-11-16,True,12696787,,2,3,0,2,4,5,"Decent pay, great benefits, great co workers.",high stress. They do everything they can to keep you from going over 27.5 hrs a week.,"""APPROVE""",8,1.0,Decent pay  great benefits  great co workers ,high stress  everything keep going  hrs week ,1,1
2310,3132,2017-12-07,True,18245381,4.0,2,4,0,1,2,3,"Everything is really variant from team to team, but the benefits are good, and the culture and devs I have worked with are really friendly. If you are a mid performer and want a place to work at you could definitely be a GM lifer and be happy.","Not a good place for top performers and talent. No upper path for individual contributers. Pay is under market for non Michigan locations. It varies team to team, but I've had friends get blocked from transfers because they are the only competent programmer, and this is after telling them to their face they would help them move onto another team, and then they told them the only way to leave is quit. GM has a lot of data and there are opportunities, but you will likely not be a part of that unless you pay attention to the team you apply for, and even then they may just put you on another team because they need a resource. Again varies widely team to team. This job has left me extremely depressed and sucks the passion for programming out of your soul. They know they have problems and they want to change it but its not happening anytime soon if ever.","""NO_OPINION""",2,0.0,Everything really variant team team  benefits good  culture devs worked really friendly  mid performer want place work could definitely GM lifer happy ,good place top performers talent  upper path individual contributers  Pay market non Michigan locations  varies team team  friends get blocked transfers competent programmer  telling face would help move onto another team  told way leave quit  GM lot data opportunities  likely part unless pay attention team apply  even may put another team need resource  varies widely team team  job left extremely depressed sucks passion programming soul  know problems want change happening anytime soon ever ,0,1
21818,28675,2017-07-07,False,15787613,5.0,3,5,0,3,4,4,Good salary\r\nGood Growth\r\nGood HR policies.\r\nTransportation  is free of cost and food ( negligible cost)\r\nGood Management,"Fav. employees are being given preference.  \r\nOther than that , Its a good company to work with .","""APPROVE""",8,1.0,Good salaryrnGood GrowthrnGood HR policiesrnTransportation free cost food  negligible cost  rnGood Management,Fav  employees given preference  rnOther  good company work ,1,0
605,760,2023-04-30,True,75988532,,3,1,4,2,2,5,"Benefits are massive, afforded by massive cost of product to patient","US culture of dog eat dog in the hope that come laying off time you’ll be chosen to stay.. the bitter backstabbing is horrible, “Their way or the Highway” ethos..","""DISAPPROVE""",41,-1.0,Benefits massive  afforded massive cost product patient,US culture dog eat dog hope come laying time  chosen stay  bitter backstabbing horrible   way Highway  ethos ,0,1
16860,21677,2018-06-25,False,21196695,5.0,0,0,0,0,0,0,"The pay is decent, hours, great people",No cons that I can think of,"""APPROVE""",10,1.0,pay decent  hours  great people,cons think,1,0
6929,8962,2012-12-06,False,2188449,3.0,5,1,0,1,1,1,"Good \""work life balance\""\r\nCafeteria is subsidized and has a wide variety of choices\r\nNice gym with pool","Low pay\r\nIncompetent management (The company ruined good products they acquired through acquisitions.)\r\nFull of unambitious people (Except for the database, it failed to build anything in-house.  It grows through acquisitions.  There are a lot of lifers.  Just look at the faded badges worn by roaming zombies.\r\nDoes not fire incompetent people. This could be a pro if you are incompetent yourself.","""DISAPPROVE""",11,-1.0,Good   work life balance  rnCafeteria subsidized wide variety choicesrnNice gym pool,Low payrnIncompetent management  company ruined good products acquired acquisitions   rnFull unambitious people  Except database  failed build anything inhouse  grows acquisitions  lot lifers  look faded badges worn roaming zombiesrnDoes fire incompetent people  could pro incompetent ,1,0
1466,1916,2012-06-19,False,1620034,3.0,2,4,0,1,3,2,decent training program to get you licensed to sell investment products.,Beyond the training program that gets you through the test the rest of the program is horrid. They teach you to go knock on doors and offer ever single person you meet Tax Free Muni Bonds. It might have worked 20 years ago but times have changed! There selling methods are old and outdated and there support for new FA's is weak at best.,"""DISAPPROVE""",33,-1.0,decent training program get licensed sell investment products ,Beyond training program gets test rest program horrid  teach go knock doors offer ever single person meet Tax Free Muni Bonds  might worked  years ago times changed  selling methods old outdated support new FA weak best ,1,0
25025,33271,2011-07-28,False,1040072,1.0,3,0,0,3,3,4,Great pay considering the fact that this was just part time.,I was a college student at the time and I ended up working too much!,"""APPROVE""",10,1.0,Great pay considering fact part time ,college student time ended working much ,1,0
21187,27852,2021-06-06,True,47956429,1.0,5,5,5,5,5,5,"A powerful company, brillant quality customer service, worldwide known company.I would like to be one of its team members.",The biggest downside to ise UPS is that they do not offer free saturday delivery.,"""APPROVE""",8,1.0,powerful company  brillant quality customer service  worldwide known companyI would like one team members ,biggest downside ise UPS offer free saturday delivery ,0,1
578,751,2023-01-26,True,73005277,3.0,3,5,5,3,3,1,Great people to work with.,Their salaries are not competitive.,,15,,Great people work ,salaries competitive ,0,1
2006,2588,2016-07-18,True,11280190,3.0,5,5,0,5,5,5,"Great benefits and perks , great management, nice co-workers , and just an overall wonderful company",None that I can think of.,"""APPROVE""",44,1.0,Great benefits perks  great management  nice coworkers  overall wonderful company,None think ,0,1
17754,23408,2022-07-31,False,67355021,3.0,1,2,2,2,4,2,"Name, reputation, brnad recognition of Oracle","Pressure, market fit, upper management","""DISAPPROVE""",11,-1.0,Name  reputation  brnad recognition Oracle,Pressure  market fit  upper management,0,0
415,577,2022-06-08,True,65266595,5.0,5,5,5,4,5,4,Great people to work with,"Lots of change, sometimes you can micromanage","""DISAPPROVE""",33,-1.0,Great people work,Lots change  sometimes micromanage,0,1
765,998,2011-03-22,True,862303,5.0,1,0,0,3,4,3,"Benefits, company vehicle maintenance, company laptop, company cell phone.","Salary, commission, management, training, keeping their word, lack of professionalism.  They do not care about their employees, just the company first.","""NO_OPINION""",35,0.0,Benefits  company vehicle maintenance  company laptop  company cell phone ,Salary  commission  management  training  keeping word  lack professionalism  care employees  company first ,1,1
657,841,2015-06-27,True,7040365,4.0,3,4,0,4,4,4,"Ability to contribute at high level; interesting public policy work and work with high societal impact that makes a difference in peoples lives. Colleagues are smart,professional, ethical and work to do the right thing.","Decision making is frustrated by multiple layers of management and \u002F or the need to clear minutiae decisions with one's \""supervisor\"" which can sometimes mean a director or senior director.","""APPROVE""",19,1.0,Ability contribute high level  interesting public policy work work high societal impact makes difference peoples lives  Colleagues smart  professional  ethical work right thing ,Decision making frustrated multiple layers management uF need clear minutiae decisions one   supervisor  sometimes mean director senior director ,1,1
791,967,2009-03-10,True,187340,3.0,3,0,0,1,1,2,"- interesting products, being #2 doesn't mean your product is that bad\r\n- opportunities for internal transfer\r\n- challenging problems in both product and research work\r\n- generally smart coworkers\r\n- feeling of a shared goal \u002F decent morale\r\n- fairly open to suggestions for product improvement","- company in permanent financial trouble; don't count on a bonus\r\n- low-grade work environment (cube farm with buzzing fluorescents)\r\n- some projects get cancelled, sucks if yours does\r\n- missing recognition even with excellent reviews\r\n- easy to get stuck with uninteresting, long-term maintenance tasks if you're not careful to avoid them immediately","""NO_OPINION""",18,0.0, interesting products    nt mean product badrn opportunities internal transferrn challenging problems product research workrn generally smart coworkersrn feeling shared goal uF decent moralern fairly open suggestions product improvement, company permanent financial trouble  nt count bonusrn lowgrade work environment  cube farm buzzing fluorescents  rn projects get cancelled  sucks doesrn missing recognition even excellent reviewsrn easy get stuck uninteresting  longterm maintenance tasks careful avoid immediately,1,1
1613,2108,2023-02-25,False,73977792,5.0,0,0,0,0,0,0,good work environment and friendly employees. manager will work with your schedule.,did not get feedback from employees,,5,,good work environment friendly employees  manager work schedule ,get feedback employees,0,0
392,511,2023-03-23,True,74823387,1.0,3,5,5,3,5,4,6 month performance evaluation.. pay raises within first 6 months plus gain share bonus and flexible schedules,Pushed to upsell on every call even though they tell you it is not a sales position,"""APPROVE""",9,1.0, month performance evaluation  pay raises within first  months plus gain share bonus flexible schedules,Pushed upsell every call even though tell sales position,0,1
19,20,2023-08-02,True,78783534,,5,3,5,1,3,4,Great benefits when vested and nice people,"Senior leadership is chaotic, CEO is seeking fame and not serious about our company,","""DISAPPROVE""",12,-1.0,Great benefits vested nice people,Senior leadership chaotic  CEO seeking fame serious company ,0,1
7982,10078,2017-05-12,True,15040364,3.0,3,4,0,3,3,3,Good benefits with plenty of time off available,"Substandard pay,  crushing work load","""NO_OPINION""",7,0.0,Good benefits plenty time available,Substandard pay  crushing work load,1,1
3329,4306,2022-10-15,False,70169689,3.0,0,0,0,0,0,0,very helpful and friendly staff,did not give me enough hours and manager is a jerk,,5,,helpful friendly staff,give enough hours manager jerk,0,0
18715,24132,2013-07-23,False,2852662,3.0,4,3,0,3,4,3,Great place to work and develop,Not too much of a chance to advance,"""APPROVE""",5,1.0,Great place work develop,much chance advance,1,0
705,952,2022-08-29,True,68452260,3.0,3,3,3,2,3,5,It's great to see so many new vehicles coming off the assembly line.,"\""Safety\"" is a priority here, if you are caught without safety glasses, or a orange reflective vest on you will more than likely be sent home or terminated.\nOn the other hand, drug use and alcohol abuse is rampant. I cannot count the number of alcohol bottles I have seen in the facility and parking lot. As well as how many times I have seen people smoking pot in the facility or right out side the facility doors. It seems management turns a blind eye to this.","""NO_OPINION""",2,0.0,great see many new vehicles coming assembly line ,  Safety  priority  caught without safety glasses  orange reflective vest likely sent home terminatednOn hand  drug use alcohol abuse rampant  count number alcohol bottles seen facility parking lot  well many times seen people smoking pot facility right side facility doors  seems management turns blind eye ,0,1
11185,14268,2010-12-08,True,736224,4.0,4,0,0,3,2,2,A large internationally known company,Good reviews does not result in cost of living adjustments or raises,"""DISAPPROVE""",11,-1.0,large internationally known company,Good reviews result cost living adjustments raises,1,1
12505,16238,2015-03-08,True,6075737,4.0,5,4,0,4,4,4,I'd like working with the product because I'm a tech enthusiast. Co workers are good people.,"Hours could be a little better, but hey, it's retail. What do you expect?","""APPROVE""",10,1.0,like working product tech enthusiast  Co workers good people ,Hours could little better  hey  retail  expect ,1,1
1131,1439,2023-02-03,True,73292758,5.0,5,5,5,5,5,5,It's fast paced. Everyone gets along well. I love the supervisors.,During Peak season you have to work 6 days. They change start time all the time.,"""NO_OPINION""",8,0.0,fast paced  Everyone gets along well  love supervisors ,Peak season work  days  change start time time ,0,1
1428,1884,2022-04-06,True,62400818,3.0,3,3,5,5,5,4,"- Interesting projects\n- diverse, global teams\n- lots of autonomy and independence on how you want to run your projects and build software",- always a conflict of interests between teams\n- Teams and works tend to become siloed so if you don't make an active effort your work experience can be very solitary\n- Every couple months there is some software project that is on fire that you may get sequestered to,"""NO_OPINION""",7,0.0, Interesting projectsn diverse  global teamsn lots autonomy independence want run projects build software, always conflict interests teamsn Teams works tend become siloed nt make active effort work experience solitaryn Every couple months software project fire may get sequestered,0,1
20801,27572,2017-08-03,False,16200994,2.0,2,1,0,3,1,2,Learn a lot of useful information and how to multitask,"workload is intense, rude customers, low pay.",,5,,Learn lot useful information multitask,workload intense  rude customers  low pay ,1,0
4912,6466,2011-08-23,True,1076150,2.0,4,0,0,5,5,4,The company has a lot of room for advancement.  The people that I am fortunate to work with are very professional and skilled.  My current manager is probably the best boss I have ever worked for.,Compensation is very average but the benefits and team that you will work with can make up some of the difference.,"""APPROVE""",9,1.0,company lot room advancement  people fortunate work professional skilled  current manager probably best boss ever worked ,Compensation average benefits team work make difference ,1,1
4332,5705,2012-07-18,True,1748122,3.0,4,4,0,4,2,3,"Great atmosphere for someone who is passionate about sports or the outdoors, meeting diverse people, relatively easy work, great employee discounts","VERY low hours at times, seems to be little oppurtunity for advancement, sometimes managers expect unrealistic goals to be met","""APPROVE""",34,1.0,Great atmosphere someone passionate sports outdoors  meeting diverse people  relatively easy work  great employee discounts,low hours times  seems little oppurtunity advancement  sometimes managers expect unrealistic goals met,1,1
10526,13235,2011-02-10,True,807460,4.0,4,0,0,3,2,3,A very competent successful company,Elitist approach to management  which is not good,,11,,competent successful company,Elitist approach management good,1,1
23581,31252,2019-05-22,True,26266175,3.0,4,3,0,3,3,1,1. You will learn in-depth about the product.\r\n2.  Work life balance.\r\n3. no one will bother after your 8.5 hrs.\r\n4. Free soft drinks and biscuits\r\n5. Some project offers cab facilities,"No hikes. getting hikes are impossible. You may get a hike every 4 yrs.\r\n\r\nSome projects has legacy products,which will impact your carrier.\r\n\r\nNow Oracle is compared to service-based companies. Service-based companies offer proepr hike but not Oracle.","""APPROVE""",11,1.0,  learn indepth productrn  Work life balancern  one bother  hrsrn  Free soft drinks biscuitsrn  project offers cab facilities,hikes  getting hikes impossible  may get hike every  yrsrnrnSome projects legacy products  impact carrierrnrnNow Oracle compared servicebased companies  Servicebased companies offer proepr hike Oracle ,0,1
14372,19006,2021-05-05,False,46546530,4.0,5,5,5,3,4,4,culture and the people are great to work with.,tooo much pressure on numbers and bad managers can really hinder your growth,,7,,culture people great work ,tooo much pressure numbers bad managers really hinder growth,0,0
13975,18118,2018-06-01,False,20854793,3.0,4,4,0,4,4,5,good benefits and 401k vacation days and sick days,they seem to be wanting less employees and more work to cut costs so it makes good customer service a hard task,"""NO_OPINION""",5,0.0,good benefits k vacation days sick days,seem wanting less employees work cut costs makes good customer service hard task,1,0
15502,19863,2020-11-23,False,38643156,4.0,0,0,0,0,0,0,"management is ok, co-workers were amazing",none at all! I would like to work less weekends\u002F,,5,,management ok  coworkers amazing,none  would like work less weekendsuF,1,0
